Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.09,2100.982422,0.171131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.1,2298.724609,0.171131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.2,1807.132202,0.168303,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.3,1474.368042,0.190163,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.4,1488.754395,0.176502,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.5,1576.471191,0.182445,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.6,1308.204102,0.169678,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.7,1089.106323,0.167717,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.8,856.462708,0.168,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.9,624.523743,0.161944,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0,1987.606812,0.138573,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.01,1500.431396,0.151353,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.02,1643.257568,0.151353,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.03,1988.038208,0.179574,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.04,2179.670166,0.182167,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.05,2178.777588,0.182167,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.06,2191.192139,0.182167,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.07,2329.544922,0.182167,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.08,2204.547852,0.182167,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.09,2165.674561,0.182167,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.1,2196.110352,0.182167,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.2,2017.910767,0.172421,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.3,1777.116455,0.187596,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.4,1566.550659,0.186466,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.5,1584.442993,0.182786,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.6,1268.044189,0.171227,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.7,930.004395,0.165203,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.2,0,0,100,101,0.01,0.8,825.072815,0.161944,DiversiTree,,,,,,,,,,,,
